,Unnamed: 0,exitage,workclass,fnlwgt,educationType,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,22699,20,Private,115824,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,1,Male,0,1573,40,United-States,<=50K
1,45142,19,Private,283945,10th,6,Never-married,Handlers-cleaners,Other-relative,1,Male,0,1602,45,United-States,<=50K
2,47274,57,Private,142714,Some-college,10,Divorced,Other-service,Not-in-family,1,Female,0,0,38,United-States,<=50K
3,12896,51,Self-emp-not-inc,34067,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,1,Male,0,0,40,United-States,<=50K
4,18207,30,Private,204374,Bachelors,13,Never-married,Sales,Not-in-family,1,Male,0,1741,48,United-States,<=50K
5,26359,48,Private,401333,HS-grad,9,Divorced,Sales,Not-in-family,1,Male,0,0,40,United-States,<=50K
6,9860,50,Private,168212,Some-college,10,Married-spouse-absent,Transport-moving,Unmarried,1,Male,0,0,40,United-States,<=50K
7,47437,20,Private,381357,9th,5,Never-married,Handlers-cleaners,Own-child,1,Male,0,0,28,United-States,<=50K
8,8248,51,?,22743,HS-grad,9,Never-married,?,Own-child,1,Male,0,0,50,United-States,<=50K
9,38704,17,Private,566049,10th,6,Never-married,Other-service,Own-child,1,Male,0,0,8,United-States,<=50K
10,30015,27,Private,220754,HS-grad,9,Never-married,Adm-clerical,Not-in-family,1,Female,0,0,70,United-States,<=50K
11,40862,35,Private,207568,10th,6,Never-married,Other-service,Own-child,1,Male,0,0,40,United-States,<=50K
12,3524,22,Private,61850,Masters,14,Never-married,Sales,Other-relative,1,Female,0,0,21,United-States,<=50K
13,12770,31,Private,293594,HS-grad,9,Never-married,Adm-clerical,Unmarried,1,Female,0,3770,37,Puerto-Rico,<=50K
14,42665,42,Private,165916,Bachelors,13,Divorced,Adm-clerical,Unmarried,1,Female,0,0,45,United-States,<=50K
15,17479,18,Private,240747,HS-grad,9,Never-married,Machine-op-inspct,Own-child,1,Female,0,0,40,Dominican-Republic,<=50K
16,48007,42,Private,147251,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,1,Female,0,0,36,United-States,<=50K
17,32040,42,Private,322385,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,1,Male,2407,0,40,United-States,<=50K
18,36968,45,Private,278151,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,1,Male,0,0,40,United-States,<=50K
19,31526,44,Self-emp-not-inc,254303,Some-college,10,Divorced,Other-service,Not-in-family,1,Male,0,0,45,United-States,<=50K
20,31177,17,Private,327127,11th,7,Never-married,Transport-moving,Own-child,1,Male,0,0,20,United-States,<=50K
21,20057,40,Federal-gov,77332,Some-college,10,Divorced,Adm-clerical,Not-in-family,1,Female,0,0,50,United-States,<=50K
22,48829,65,Self-emp-not-inc,99359,Prof-school,15,Never-married,Prof-specialty,Not-in-family,1,Male,1086,0,60,United-States,<=50K
23,38529,34,Self-emp-not-inc,527162,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,1,Male,0,0,30,United-States,<=50K
24,48606,31,State-gov,110714,Some-college,10,Never-married,Other-service,Own-child,1,Female,0,0,37,United-States,<=50K
25,26203,19,Private,111232,HS-grad,9,Never-married,Sales,Own-child,1,Male,0,0,40,United-States,<=50K
26,12515,17,Private,33611,11th,7,Never-married,Other-service,Own-child,1,Male,0,0,40,United-States,<=50K
27,37184,23,Private,211160,12th,8,Married-civ-spouse,Handlers-cleaners,Own-child,1,Male,0,0,40,United-States,<=50K
28,47044,19,Private,198943,Some-college,10,Never-married,Other-service,Own-child,1,Female,0,0,35,United-States,<=50K
29,21045,65,Self-emp-not-inc,316093,Prof-school,15,Divorced,Prof-specialty,Not-in-family,1,Male,0,1668,40,United-States,<=50K
30,196,44,Private,299197,Some-college,10,Never-married,Transport-moving,Not-in-family,1,Male,0,0,45,United-States,<=50K
31,16953,17,Self-emp-not-inc,368700,11th,7,Never-married,Farming-fishing,Own-child,1,Male,0,0,10,United-States,<=50K
32,10636,36,Private,141029,HS-grad,9,Separated,Craft-repair,Unmarried,1,Female,0,0,40,United-States,<=50K
33,41245,44,Private,106698,HS-grad,9,Divorced,Other-service,Unmarried,1,Female,0,0,40,United-States,<=50K
34,15981,32,Private,259425,Some-college,10,Divorced,Craft-repair,Not-in-family,1,Male,0,0,40,United-States,<=50K
35,46724,28,Private,34532,Bachelors,13,Never-married,Tech-support,Not-in-family,0,Male,0,0,30,Jamaica,<=50K
36,39757,58,Self-emp-not-inc,33309,HS-grad,9,Widowed,Farming-fishing,Not-in-family,1,Male,0,0,80,United-States,<=50K
37,40938,24,Private,283092,11th,7,Never-married,Craft-repair,Not-in-family,0,Male,0,0,35,Jamaica,<=50K
38,3118,63,Private,50120,HS-grad,9,Married-civ-spouse,Sales,Husband,1,Male,0,1573,25,United-States,<=50K
39,11110,44,Private,180383,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,1,Male,0,0,60,United-States,<=50K
40,2908,28,Private,398220,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,1,Male,0,0,40,Mexico,<=50K
41,6232,19,?,155863,Some-college,10,Never-married,?,Own-child,1,Female,0,1602,30,United-States,<=50K
42,24653,33,Private,62155,Some-college,10,Never-married,Sales,Not-in-family,0,Male,0,0,35,United-States,<=50K
43,37843,44,Federal-gov,191295,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,Male,0,0,48,United-States,<=50K
44,46602,24,Private,174043,Bachelors,13,Never-married,Other-service,Not-in-family,1,Male,0,0,40,United-States,<=50K
45,30112,30,State-gov,112139,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,1,Male,0,0,40,United-States,<=50K
46,34815,65,?,178931,HS-grad,9,Married-civ-spouse,?,Husband,0,Male,3818,0,40,United-States,<=50K
47,12256,56,Private,146660,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,1,Male,0,0,10,United-States,<=50K
48,6215,33,Private,229732,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,1,Male,0,0,40,United-States,<=50K
49,47066,24,Private,315476,Assoc-acdm,12,Never-married,Craft-repair,Own-child,1,Male,0,0,40,United-States,<=50K
50,38473,18,Private,219841,11th,7,Never-married,Handlers-cleaners,Own-child,1,Male,0,0,12,United-States,<=50K
51,3631,28,Private,167789,HS-grad,9,Never-married,Sales,Not-in-family,1,Female,0,0,60,United-States,<=50K
52,26992,20,Private,194504,Some-college,10,Separated,Sales,Unmarried,0,Female,0,0,40,United-States,<=50K
53,3265,42,Private,113461,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,1,Male,0,0,40,United-States,<=50K
54,10866,24,Private,201145,HS-grad,9,Never-married,Craft-repair,Not-in-family,1,Male,0,0,65,United-States,<=50K
55,22274,35,Private,177121,HS-grad,9,Divorced,Other-service,Not-in-family,1,Female,0,0,35,United-States,<=50K
56,24428,24,?,196388,Assoc-acdm,12,Never-married,?,Not-in-family,1,Male,0,0,12,United-States,<=50K
57,23318,23,Private,107190,Some-college,10,Never-married,Adm-clerical,Own-child,0,Male,0,0,20,United-States,<=50K
58,11697,19,Private,39623,Some-college,10,Never-married,Sales,Own-child,1,Female,0,0,25,United-States,<=50K
59,45544,41,Self-emp-inc,230168,Some-college,10,Married-civ-spouse,Sales,Husband,1,Male,0,0,91,United-States,<=50K
60,43569,24,Private,139989,Bachelors,13,Never-married,Sales,Own-child,0,Male,0,0,40,United-States,<=50K
61,171,34,Private,189759,Masters,14,Never-married,Prof-specialty,Not-in-family,1,Male,0,0,40,United-States,<=50K
62,15904,17,Private,209650,12th,8,Never-married,Other-service,Own-child,1,Male,0,0,20,United-States,<=50K
63,43633,26,Private,373553,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,1,Female,0,0,42,United-States,<=50K
64,4303,45,Private,105431,HS-grad,9,Divorced,Farming-fishing,Unmarried,0,Female,0,0,39,United-States,<=50K
65,3066,52,Private,94873,HS-grad,9,Widowed,Other-service,Unmarried,1,Male,0,0,19,United-States,<=50K
66,40049,34,Private,163110,Masters,14,Married-civ-spouse,Sales,Husband,1,Male,0,0,40,United-States,<=50K
67,46839,61,?,229744,1st-4th,2,Married-civ-spouse,?,Husband,1,Male,3942,0,20,Mexico,<=50K
68,39095,21,Private,202871,HS-grad,9,Never-married,Machine-op-inspct,Own-child,1,Male,0,0,20,United-States,<=50K
69,27912,20,Private,107658,Some-college,10,Never-married,Tech-support,Not-in-family,1,Female,0,0,10,United-States,<=50K
70,7672,72,Private,128529,HS-grad,9,Widowed,Other-service,Unmarried,1,Female,0,0,28,United-States,<=50K
71,39750,29,Private,169683,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,1,Male,0,0,40,United-States,<=50K
72,8231,66,?,52654,11th,7,Married-civ-spouse,?,Husband,1,Male,0,0,32,United-States,<=50K
73,40174,43,Private,91949,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,0,Female,0,0,40,United-States,<=50K
74,46675,61,Private,172037,HS-grad,9,Married-civ-spouse,Other-service,Husband,1,Male,0,0,40,United-States,<=50K
75,38848,47,Private,341471,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,1,Female,0,0,4,United-States,<=50K
76,9010,35,Local-gov,126569,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,1,Male,0,0,40,United-States,<=50K
77,516,20,?,38455,HS-grad,9,Never-married,?,Unmarried,1,Male,0,0,40,United-States,<=50K
78,14244,22,Private,117767,Some-college,10,Never-married,Sales,Own-child,1,Male,0,0,18,United-States,<=50K
79,22883,62,Private,200922,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,1,Female,0,0,40,United-States,<=50K
80,37817,23,Private,117606,Bachelors,13,Never-married,Prof-specialty,Not-in-family,1,Female,0,0,40,United-States,<=50K
81,38158,28,Private,250135,Some-college,10,Divorced,Exec-managerial,Not-in-family,1,Female,0,0,40,United-States,<=50K
82,46117,60,Local-gov,48788,Bachelors,13,Separated,Prof-specialty,Unmarried,1,Female,5455,0,55,United-States,<=50K
83,38378,22,Private,168187,Some-college,10,Never-married,Other-service,Unmarried,1,Female,0,0,50,United-States,<=50K
84,13609,26,Private,93169,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,1,Female,0,0,40,United-States,<=50K
85,22140,20,Private,206215,HS-grad,9,Never-married,Adm-clerical,Own-child,1,Female,0,0,40,United-States,<=50K
86,31581,54,Private,192862,HS-grad,9,Divorced,Exec-managerial,Unmarried,1,Female,0,0,45,United-States,<=50K
87,4496,38,Private,259972,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,1,Male,0,0,40,United-States,<=50K
88,19088,44,Private,174491,HS-grad,9,Widowed,Other-service,Unmarried,0,Female,0,0,30,United-States,<=50K
89,41683,19,State-gov,67217,Some-college,10,Never-married,Other-service,Not-in-family,1,Male,594,0,24,United-States,<=50K
90,12265,28,Private,179191,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,1,Male,0,0,35,United-States,<=50K
91,47316,28,Private,180928,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,1,Male,5013,0,55,United-States,<=50K
92,6539,47,Private,123425,HS-grad,9,Never-married,Exec-managerial,Own-child,1,Male,0,0,41,United-States,<=50K
93,43642,20,Private,293297,Some-college,10,Never-married,Other-service,Own-child,1,Male,0,0,35,United-States,<=50K
94,21720,33,Private,113364,HS-grad,9,Divorced,Adm-clerical,Own-child,1,Male,0,0,40,United-States,<=50K
95,27612,23,Private,117789,Bachelors,13,Never-married,Exec-managerial,Own-child,1,Female,0,0,40,United-States,<=50K
96,17607,47,Private,256522,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,1,Male,0,0,40,?,<=50K
97,45499,20,Private,238917,HS-grad,9,Never-married,Craft-repair,Other-relative,1,Male,0,0,40,El-Salvador,<=50K
98,21790,32,State-gov,230224,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,1,Male,0,0,35,United-States,<=50K
99,48704,61,Private,98776,11th,7,Widowed,Handlers-cleaners,Not-in-family,1,Female,0,0,30,United-States,<=50K
100,32906,59,Private,114678,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,Male,0,0,60,United-States,<=50K
101,4339,32,Local-gov,56658,HS-grad,9,Never-married,Transport-moving,Not-in-family,0,Male,0,0,40,United-States,<=50K
102,40060,30,Private,94245,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,1,Male,0,0,40,United-States,<=50K
103,15407,26,Private,102875,Assoc-acdm,12,Never-married,Sales,Own-child,1,Female,0,0,40,India,<=50K
104,42864,49,Private,213431,HS-grad,9,Separated,Prof-specialty,Unmarried,0,Female,0,0,40,United-States,<=50K
105,3331,26,Local-gov,213258,Bachelors,13,Never-married,Prof-specialty,Own-child,1,Male,0,0,40,United-States,<=50K
106,44011,22,?,139324,9th,5,Never-married,?,Unmarried,0,Female,0,0,36,United-States,<=50K
107,17342,61,Private,128848,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,1,Male,3471,0,40,United-States,<=50K
108,11181,22,State-gov,194630,Some-college,10,Never-married,Prof-specialty,Own-child,1,Male,0,0,10,United-States,<=50K
109,4925,50,Private,154043,HS-grad,9,Widowed,Adm-clerical,Other-relative,0,Female,0,0,40,United-States,<=50K
110,4793,30,Private,159323,Some-college,10,Divorced,Sales,Unmarried,1,Female,0,0,65,Canada,<=50K
111,39173,24,Self-emp-inc,234663,Bachelors,13,Never-married,Exec-managerial,Own-child,1,Male,0,0,40,United-States,<=50K
112,38904,60,Self-emp-not-inc,220342,11th,7,Married-civ-spouse,Farming-fishing,Husband,1,Male,0,0,35,United-States,<=50K
113,18759,69,Self-emp-inc,69209,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,1,Male,3818,0,30,United-States,<=50K
114,33315,21,Private,129980,9th,5,Never-married,Transport-moving,Own-child,1,Male,0,0,40,United-States,<=50K
115,45695,33,Federal-gov,94193,HS-grad,9,Divorced,Adm-clerical,Unmarried,1,Female,0,0,40,United-States,<=50K
116,11410,79,Private,187492,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,1,Male,0,0,7,United-States,<=50K
117,32666,25,Private,192273,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,1,Male,0,0,40,United-States,<=50K
118,41523,53,Private,240914,Some-college,10,Married-civ-spouse,Craft-repair,Husband,1,Male,0,0,40,United-States,<=50K
119,14670,27,Private,226441,Bachelors,13,Never-married,Prof-specialty,Other-relative,1,Female,0,0,40,United-States,<=50K
120,13019,48,Private,215895,Bachelors,13,Never-married,Exec-managerial,Own-child,1,Male,0,0,40,United-States,<=50K
121,27901,67,Self-emp-not-inc,345236,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,1,Male,0,0,55,United-States,<=50K
122,3161,70,Private,50468,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,1,Male,0,3175,15,United-States,<=50K
123,26357,24,Private,283872,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,Male,0,0,20,United-States,<=50K
124,44403,26,Private,37379,Bachelors,13,Never-married,Exec-managerial,Not-in-family,1,Female,0,0,45,United-States,<=50K
125,20444,22,State-gov,22966,Some-college,10,Married-spouse-absent,Tech-support,Unmarried,1,Male,0,0,20,United-States,<=50K
126,17644,51,Private,203435,Some-college,10,Divorced,Sales,Unmarried,1,Female,0,0,40,Italy,<=50K
127,44021,31,Private,132601,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,1,Male,0,0,40,United-States,<=50K
128,41839,58,Private,206532,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,1,Male,0,0,50,United-States,<=50K
129,7224,27,Self-emp-inc,186733,HS-grad,9,Never-married,Exec-managerial,Not-in-family,1,Male,0,0,50,United-States,<=50K
