Zip,Total,white_1,black_1,white_2,black_2
8600000US43964,8642,8209,256,17,0
8600000US28216,51116,12020,32646,1563,283
8600000US28277,71605,47299,6154,3973,192
8600000US28278,27286,12758,8214,1757,458
8600000US28303,29414,12090,11295,2268,191
8600000US28314,58110,18095,26366,5263,1015
8600000US28330,444,340,104,0,0
8600000US28347,2329,540,879,725,23
8600000US28351,4698,2606,1255,0,16
8600000US28357,2682,1337,525,31,41
8600000US28369,2865,1286,947,5,17
8600000US28371,7249,3576,1980,240,0
8600000US28392,1628,966,655,7,0
8600000US28428,6533,6145,7,71,0
8600000US28433,5375,1796,3339,139,2
8600000US28435,2058,1506,330,64,0
8600000US28450,2596,1766,222,10,3
8600000US28461,19897,17674,390,334,62
8600000US28462,12659,11108,1165,55,0
8600000US28537,146,140,3,3,0
8600000US28547,25420,16102,2603,3737,344
8600000US28552,146,146,0,0,0
8600000US28557,15204,12550,1167,778,0
8600000US28560,27590,19661,4825,819,75
8600000US28562,38598,25869,8579,1119,127
8600000US28570,21590,18285,1129,893,16
8600000US28574,18116,13650,1713,871,177
8600000US28579,554,539,10,0,0
8600000US28373,2602,1760,708,46,0
8600000US28364,15183,1084,3085,15,1
8600000US28366,5564,2851,1086,696,0
8600000US28377,12933,1682,3311,537,39
8600000US28383,8854,1101,2205,1,0
8600000US28386,5997,495,712,834,0
8600000US28398,7765,2445,3489,1278,33
8600000US28425,11634,6317,3716,119,0
8600000US28429,7525,5366,1769,70,0
8600000US28464,2707,842,1425,439,1
8600000US28073,5366,3873,1222,0,0
8600000US28098,3629,2566,551,184,25
8600000US28119,2453,775,1395,158,0
8600000US28144,25158,11718,10963,1094,71
8600000US28150,27581,18019,7898,483,1
8600000US28168,10056,9284,131,279,0
8600000US28173,56910,44837,4071,2693,50
8600000US28205,48539,20923,13596,4596,275
8600000US28214,41356,14623,16883,2488,211
8600000US28307,17830,9459,3028,1606,185
8600000US28315,13700,8197,3647,705,0
8600000US28318,4371,3624,252,278,0
8600000US28320,9919,7027,2405,44,177
8600000US28333,11075,2491,4461,3248,0
8600000US28730,9248,8164,246,228,0
8600000US28544,6692,4273,1360,302,0
8600000US28470,12089,9025,1850,201,0
8600000US28524,304,304,0,0,0
8600000US28530,6457,3506,2547,168,0
8600000US28556,1019,806,95,0,0
8600000US28573,2053,1074,879,23,0
8600000US28621,10499,8571,463,820,0
8600000US28631,818,700,0,80,0
8600000US28644,1117,1094,0,23,0
8600000US28675,7033,5898,249,545,11
8600000US28684,2370,2312,7,0,0
8600000US28405,32330,23839,6088,1423,146
8600000US28442,1584,857,546,0,0
8600000US28444,1962,1055,850,12,0
8600000US28466,9294,6486,1807,706,0
8600000US28718,363,363,0,0,0
8600000US28722,6477,5298,267,656,0
8600000US28077,464,443,9,0,0
8600000US28097,6074,5527,86,223,0
8600000US28103,11397,8496,2152,447,0
8600000US28105,45786,32564,4886,2229,195
8600000US28110,53520,35531,6789,8200,86
8600000US28124,6192,5881,70,3,0
8600000US28127,7860,6607,889,69,42
8600000US28137,3248,2762,149,94,0
8600000US28139,20900,18602,1303,488,0
8600000US28212,45694,8303,18963,5995,303
8600000US28217,29410,4166,12422,6993,160
8600000US28227,55769,27189,15710,2915,216
8600000US29440,27897,13904,12603,128,63
8600000US29450,3548,1155,2298,0,0
8600000US29452,484,159,325,0,0
8600000US29456,30609,19280,6830,1199,217
8600000US29477,6966,3167,3523,124,0
8600000US29525,2242,643,1313,5,0
8600000US29340,21046,15404,4521,243,7
8600000US29353,4199,3212,922,1,0
8600000US29364,578,464,85,0,0
8600000US29369,13567,10076,2654,208,0
8600000US29370,1187,798,363,6,0
8600000US29374,3756,3422,118,0,0
8600000US29385,7834,4595,1594,388,18
8600000US29448,2309,1408,864,0,0
8600000US29466,38267,33994,2565,891,12
8600000US29472,9242,4238,3933,98,24
8600000US29488,22056,11976,8744,285,37
8600000US29501,46516,27684,15790,830,77
8600000US29510,10493,5282,4674,107,39
8600000US29541,9601,6071,3128,86,6
8600000US29943,524,161,363,0,0
8600000US29482,2148,2048,6,38,0
8600000US29485,57000,38725,10682,2440,409
8600000US29518,1042,683,353,6,0
8600000US29547,3524,1513,1429,13,441
8600000US29568,15066,9686,4827,244,0
8600000US29615,37681,28078,3764,1886,273
8600000US29640,30295,25997,2180,759,0
8600000US29643,2088,2031,37,0,0
8600000US29649,26598,17320,7159,563,30
8600000US29661,5885,5404,115,134,43
8600000US29664,2084,2049,0,15,0
8600000US29666,6610,5459,992,129,0
8600000US29673,29287,21026,5692,449,0
8600000US29676,5305,5163,53,34,0
8600000US29682,3669,3511,12,117,0
8600000US29687,41209,30958,4916,2376,60
8600000US29693,14413,13042,653,90,0
8600000US29710,35157,27340,3363,1727,13
8600000US29714,2902,2334,513,0,0
8600000US29717,1400,1195,178,0,10
8600000US29439,2319,2319,0,0,0
8600000US29373,487,442,10,0,0
8600000US29404,1981,1267,310,149,0
8600000US29435,4379,3101,1141,3,0
8600000US29449,8265,4013,3980,81,0
8600000US29458,3195,1017,2175,0,0
8600000US29461,37133,24712,9833,496,49
8600000US29464,51379,43737,3799,1250,163
8600000US29470,4900,3304,1207,331,0
8600000US29474,2136,1454,443,0,0
8600000US29203,39518,4815,32087,260,196
8600000US29209,33590,14958,15429,843,176
8600000US29302,16958,12560,3034,357,11
8600000US29571,14140,4880,8799,11,0
8600000US29307,18121,12881,3819,590,0
8600000US29316,26719,20503,3792,841,0
8600000US29570,3402,1763,910,5,0
8600000US29577,31816,21176,4458,3154,165
8600000US29580,1336,160,1115,0,0
8600000US29593,1669,778,865,11,0
8600000US29617,28362,16878,4081,4903,82
8600000US29621,40931,30896,6996,888,142
8600000US29626,12570,8754,2851,441,0
8600000US29631,15176,12379,742,351,0
8600000US29644,21182,14656,4528,544,11
8600000US29658,491,481,7,3,0
8600000US29690,23217,19807,1981,552,62
8600000US29692,4711,3585,911,16,18
8600000US29696,5386,4640,119,152,2
8600000US29727,1441,783,569,21,0
8600000US29810,4224,512,3611,38,11
8600000US29840,323,0,308,0,0
8600000US29848,631,540,82,0,0
8600000US29939,383,97,286,0,0
8600000US29046,143,0,143,0,0
8600000US29101,2889,1585,1129,121,0
8600000US29168,3973,1525,2364,17,0
8600000US29940,4046,1495,2331,158,0
8600000US29137,1849,905,804,0,0
8600000US29153,14934,5915,8287,85,34
8600000US29162,3046,2004,830,7,9
8600000US29169,24170,14519,4596,3084,130
8600000US29202,274,183,9,12,0
8600000US29148,6910,3288,3521,49,0
8600000US29320,1017,415,0,602,0
8600000US29453,1136,601,406,0,0
8600000US29581,5189,3475,1296,239,87
8600000US29657,15869,13998,1081,279,0
8600000US29569,17587,11100,5666,292,7
8600000US29607,40940,24709,11441,1508,60
8600000US29741,2239,1727,396,5,0
8600000US29902,15826,10351,3328,893,15
8600000US29944,3985,1980,1922,18,0
8600000US29945,5232,974,4166,16,17
8600000US29712,2199,1693,397,71,0
8600000US29520,13892,6505,6934,96,51
8600000US29642,32358,28722,1746,752,0
8600000US29667,263,235,25,0,0
8600000US29689,3934,3818,82,0,0
8600000US29080,2859,583,2132,49,0
8600000US29146,1694,606,1047,15,0
8600000US29045,25814,15906,6527,956,85
8600000US29118,17232,4949,10440,222,9
8600000US29372,4164,3027,821,188,0
8600000US29492,13202,10943,1343,585,0
8600000US29020,21408,12604,7402,452,0
8600000US29044,5852,1737,3948,71,36
8600000US29036,21766,19825,766,739,0
8600000US29037,614,401,166,21,0
8600000US29039,3715,1760,1825,79,0
8600000US29040,10616,5169,4046,258,0
8600000US29042,5076,802,4198,19,0
8600000US29208,760,446,197,24,0
8600000US29126,2035,1505,521,0,9
8600000US29117,1056,57,917,2,0
8600000US29147,0,0,0,0,0
8600000US29225,1308,1038,148,6,0
8600000US29324,336,336,0,0,0
8600000US29329,247,247,0,0,0
8600000US29331,194,194,0,0,0
8600000US29333,581,408,62,76,0
8600000US29346,293,282,0,0,0
8600000US29368,96,96,0,0,0
8600000US29378,175,17,25,120,0
8600000US29409,2666,2099,238,106,9
8600000US29410,22836,15136,3758,1253,28
8600000US29424,390,264,72,11,6
8600000US29588,45385,35997,3523,1757,136
8600000US29613,1917,1499,175,46,12
8600000US29614,2128,1642,143,75,6
8600000US29634,5129,4251,497,44,14
8600000US29707,28866,24142,1467,1227,88
8600000US29733,1852,1244,460,65,7
8600000US29899,1120,319,731,0,0
8600000US29904,712,366,86,151,4
8600000US29905,3083,1994,270,454,27
8600000US29907,14801,10709,2392,873,76
8600000US29909,18829,17375,324,353,14
8600000US29912,0,0,0,0,0
8600000US29915,445,408,0,7,0
8600000US29817,4420,1483,2792,6,0
8600000US29321,3194,2492,535,30,0
8600000US29014,1763,1009,696,0,0
8600000US29038,2169,1442,394,256,0
8600000US29053,17852,12378,3665,907,0
